Product,Category,Price,Stock,Rating
Laptop Pro 15,Electronics,"$1,299.99",45,4.5
Wireless Mouse,Electronics,"$29.99",230,4.2
Mechanical Keyboard,Electronics,"$89.99",180,4.7
USB-C Hub,Electronics,"$49.99",320,4.1
Monitor 27inch,Electronics,"$399.99",67,4.6
Webcam HD,Electronics,"$79.99",145,4.3
Headphones Pro,Electronics,"$149.99",89,4.8
Speaker Bluetooth,Electronics,"$59.99",210,4.4
Tablet 10inch,Electronics,"$329.99",78,4.5
Smartwatch Series 5,Electronics,"$249.99",92,4.6
Phone Stand,Electronics,"$19.99",450,4.0
Cable HDMI,Electronics,"$14.99",560,4.1
Power Bank 20000,Electronics,"$49.99",280,4.5
Earbuds Wireless,Electronics,"$99.99",165,4.6
Router WiFi 6,Electronics,"$129.99",73,4.4
SSD 1TB,Electronics,"$109.99",134,4.8
RAM 16GB,Electronics,"$79.99",89,4.7
Graphics Card,Electronics,"$599.99",23,4.9
Processor i7,Electronics,"$349.99",34,4.8
Motherboard ATX,Electronics,"$199.99",45,4.6
Desk Lamp LED,Home,"$39.99",310,4.3
Office Chair,Home,"$299.99",56,4.5
Standing Desk,Home,"$499.99",34,4.7
Bookshelf,Home,"$149.99",78,4.2
Wall Clock,Home,"$24.99",230,4.1
Picture Frame,Home,"$15.99",340,4.0
Throw Pillow,Home,"$19.99",420,4.2
Area Rug,Home,"$89.99",67,4.4
Curtains Set,Home,"$49.99",145,4.1
Bed Sheets,Home,"$59.99",189,4.5
Coffee Maker,Kitchen,"$79.99",134,4.6
Air Fryer,Kitchen,"$99.99",167,4.8
Blender Pro,Kitchen,"$149.99",89,4.7
Toaster Oven,Kitchen,"$69.99",112,4.3
Rice Cooker,Kitchen,"$49.99",203,4.5
Electric Kettle,Kitchen,"$39.99",267,4.4
Food Processor,Kitchen,"$129.99",78,4.6
Knife Set,Kitchen,"$89.99",145,4.7
Cutting Board,Kitchen,"$24.99",310,4.2
Mixing Bowls,Kitchen,"$34.99",256,4.3
Running Shoes,Sports,"$129.99",89,4.5
Yoga Mat,Sports,"$39.99",234,4.6
Dumbbell Set,Sports,"$149.99",67,4.7
Resistance Bands,Sports,"$24.99",340,4.4
Jump Rope,Sports,"$14.99",450,4.2
Water Bottle,Sports,"$29.99",380,4.5
Gym Gloves,Sports,"$19.99",290,4.1
Protein Shaker,Sports,"$15.99",410,4.0
Foam Roller,Sports,"$34.99",178,4.6
Backpack Sports,Sports,"$69.99",134,4.4
Python Programming,Books,"$49.99",234,4.8
Machine Learning Book,Books,"$59.99",189,4.9
React Complete Guide,Books,"$44.99",267,4.7
Clean Code,Books,"$39.99",312,4.8
Deep Work,Books,"$24.99",423,4.9
Atomic Habits,Books,"$18.99",567,4.9
Zero to One,Books,"$22.99",345,4.8
The Lean Startup,Books,"$19.99",289,4.6
Meditations,Books,"$12.99",456,4.9
Rich Dad Poor Dad,Books,"$15.99",534,4.5
Notebook Premium,Stationery,"$14.99",456,4.3
Pen Set,Stationery,"$19.99",567,4.4
Highlighters Pack,Stationery,"$9.99",678,4.2
Sticky Notes,Stationery,"$7.99",789,4.1
Planner 2026,Stationery,"$24.99",345,4.6
Index Cards,Stationery,"$5.99",567,4.0
Whiteboard Markers,Stationery,"$12.99",345,4.3
